FullRunName,Age_Days,Strain,Diet,Sex,EarTag,RunDate,RunTime,digestion_batch,MS_batch,DateTime,order
I170925_BXD66_HF_ET1560_SW_Run001,367,BXD66,HF,F,ET1560,Oct_05,18:35:00,1,Batch_1,2023-10-05T22:35:00Z,1
I170925_BXD101_CD_ET1424_SW_Run002,349,BXD101,CD,F,ET1424,Oct_05,20:12:00,1,Batch_1,2023-10-06T00:12:00Z,2
I170925_BXD63_HF_ET1715_SW_Run003,186,BXD63,HF,F,ET1715,Oct_05,21:50:00,1,Batch_1,2023-10-06T01:50:00Z,3
I170925_BXD61_HF_ET1721_SW_Run004,188,BXD61,HF,F,ET1721,Oct_05,23:28:00,1,Batch_1,2023-10-06T03:28:00Z,4
I170925_BXD61_CD_ET1725_SW_Run005,188,BXD61,CD,F,ET1725,Oct_06,01:51:00,1,Batch_1,2023-10-06T05:51:00Z,5
I170925_BXD65b_HF_ET1707_SW_Run006,187,BXD65b,HF,F,ET1707,Oct_06,03:29:00,1,Batch_1,2023-10-06T07:29:00Z,6
I170925_BXD102_HF_ET1365_SW_Run007,351,BXD102,HF,M,ET1365,Oct_06,05:07:00,1,Batch_1,2023-10-06T09:07:00Z,7
I170925_BXD65b_CD_ET1710_SW_Run008,187,BXD65b,CD,F,ET1710,Oct_06,06:45:00,1,Batch_1,2023-10-06T10:45:00Z,8
I170925_BXD29_HF_ET1037_SW_Run009,630,BXD29,HF,F,ET1037,Oct_06,09:07:00,1,Batch_1,2023-10-06T13:07:00Z,9
I170925_BXD101_CD_ET1425_SW_Run010,349,BXD101,CD,F,ET1425,Oct_06,10:45:00,1,Batch_1,2023-10-06T14:45:00Z,10
I170925_BXD48a_CD_ET1189_SW_Run011,604,BXD48a,CD,F,ET1189,Oct_06,12:23:00,1,Batch_1,2023-10-06T16:23:00Z,11
I170925_DBA2J_CD_ET1818_SW_Run012,764,DBA2J,CD,F,ET1818,Oct_06,14:01:00,1,Batch_1,2023-10-06T18:01:00Z,12
I171006_BXD32_CD_ET2494_SW_Run013,386,BXD32,CD,F,ET2494,Oct_06,16:24:00,1,Batch_1,2023-10-06T20:24:00Z,13
I171006_BXD39_HF_ET1474_SW_Run014,350,BXD39,HF,F,ET1474,Oct_06,18:02:00,1,Batch_1,2023-10-06T22:02:00Z,14
I171006_BXD63_CD_ET1417_SW_Run015,344,BXD63,CD,F,ET1417,Oct_06,19:39:00,1,Batch_1,2023-10-06T23:39:00Z,15
I171006_BXD63_HF_ET1416_SW_Run016,344,BXD63,HF,F,ET1416,Oct_06,22:02:00,1,Batch_1,2023-10-07T02:02:00Z,16
I171006_BXD32_CD_ET2495_SW_Run017,386,BXD32,CD,F,ET2495,Oct_06,23:40:00,1,Batch_1,2023-10-07T03:40:00Z,17
I171006_BXD24_HF_ET2259_SW_Run018,688,BXD24,HF,F,ET2259,Oct_07,01:18:00,1,Batch_1,2023-10-07T05:18:00Z,18
I171006_BXD63_CD_ET1414_SW_Run019,344,BXD63,CD,F,ET1414,Oct_07,03:40:00,1,Batch_1,2023-10-07T07:40:00Z,19
I171006_B6D2F1_CD_ET1227_SW_Run020,640,B6D2F1,CD,F,ET1227,Oct_07,05:18:00,1,Batch_1,2023-10-07T09:18:00Z,20
I171006_BXD53_HF_ET836_SW_Run021,713,BXD53,HF,F,ET836,Oct_07,06:56:00,1,Batch_1,2023-10-07T10:56:00Z,21
I171006_48a_HF_ET1772_SW_Run022,597,BXD48a,HF,F,ET1772,Oct_07,09:19:00,1,Batch_1,2023-10-07T13:19:00Z,22
I171006_BXD53_HF_ET833_SW_Run023,713,BXD53,HF,F,ET833,Oct_07,10:57:00,1,Batch_1,2023-10-07T14:57:00Z,23
I171006_BXD63_CD_ET1872_SW_Run024,751,BXD63,CD,F,ET1872,Oct_07,12:35:00,1,Batch_1,2023-10-07T16:35:00Z,24
I171006_BXD69_CD_ET1850_SW_Run025,785,BXD69,CD,F,ET1850,Oct_07,14:57:00,1,Batch_1,2023-10-07T18:57:00Z,25
I171006_BXD73_CD_ET1860_SW_Run026,759,BXD73,CD,F,ET1860,Oct_07,16:35:00,1,Batch_1,2023-10-07T20:35:00Z,26
I171006_BXD44_HF_ET1687_SW_Run027,174,BXD44,HF,F,ET1687,Oct_07,18:13:00,1,Batch_1,2023-10-07T22:13:00Z,27
I171007_BXD87_CD_ET2498_SW_Run028,393,BXD87,CD,F,ET2498,Oct_07,20:36:00,1,Batch_1,2023-10-08T00:36:00Z,28
I171007_BXD63_HF_ET2091_SW_Run029,752,BXD63,HF,F,ET2091,Oct_07,22:14:00,1,Batch_1,2023-10-08T02:14:00Z,29
I171007_BXD102_HF_ET1366_SW_Run030,351,BXD102,HF,M,ET1366,Oct_07,23:52:00,1,Batch_1,2023-10-08T03:52:00Z,30
I171007_BXD29_CD_ET1044_SW_Run031,724,BXD29,CD,F,ET1044,Oct_08,02:14:00,1,Batch_1,2023-10-08T06:14:00Z,31
I171007_BXD45_CD_ET1762_SW_Run033,384,BXD45,CD,F,ET1762,Oct_08,05:30:00,1,Batch_1,2023-10-08T09:30:00Z,32
I171007_BXD90_CD_ET1096_SW_Run034,732,BXD90,CD,F,ET1096,Oct_08,07:52:00,1,Batch_1,2023-10-08T11:52:00Z,33
I171007_B6D2F1_CD_ET1568_SW_Run035,552,B6D2F1,CD,F,ET1568,Oct_08,09:30:00,1,Batch_1,2023-10-08T13:30:00Z,34
I171007_BXD44_HF_ET1501_SW_Run036,379,BXD44,HF,F,ET1501,Oct_08,11:08:00,1,Batch_1,2023-10-08T15:08:00Z,35
I171007_BXD62_CD_ET1478_SW_Run037,376,BXD62,CD,F,ET1478,Oct_08,13:31:00,1,Batch_1,2023-10-08T17:31:00Z,36
I171007_BXD44_CD_ET1505_SW_Run038,379,BXD44,CD,F,ET1505,Oct_08,15:09:00,1,Batch_1,2023-10-08T19:09:00Z,37
I171007_C57BL6_CD_ET1590_SW_Run039,361,C57BL6J,CD,M,ET1590,Oct_08,16:47:00,1,Batch_1,2023-10-08T20:47:00Z,38
I171007_BXD29_CD_ET1045_SW_Run040,724,BXD29,CD,F,ET1045,Oct_08,19:09:00,1,Batch_1,2023-10-08T23:09:00Z,39
I171007_BXD39_CD_ET673_SW_Run041,730,BXD39,CD,F,ET673,Oct_08,20:47:00,1,Batch_1,2023-10-09T00:47:00Z,40
I171008_BXD39_CD_ET675_SW_Run042,730,BXD39,CD,F,ET675,Oct_08,23:10:00,1,Batch_1,2023-10-09T03:10:00Z,41
I171008_B6D2F1_CD_ET1569_SW_Run043,552,B6D2F1,CD,F,ET1569,Oct_09,00:48:00,1,Batch_1,2023-10-09T04:48:00Z,42
I171008_B6D2F1_HF_ET1230_SW_Run044,726,B6D2F1,HF,F,ET1230,Oct_09,02:25:00,1,Batch_1,2023-10-09T06:25:00Z,43
I171008_BXD44_HF_ET1502_SW_Run045,379,BXD44,HF,F,ET1502,Oct_09,04:48:00,1,Batch_1,2023-10-09T08:48:00Z,44
I171008_BXD45_CD_ET1391_SW_Run046,384,BXD45,CD,F,ET1391,Oct_09,06:26:00,1,Batch_1,2023-10-09T10:26:00Z,45
I171008_B6D2F1_CD_ET1228_SW_Run047,726,B6D2F1,CD,F,ET1228,Oct_09,08:04:00,1,Batch_1,2023-10-09T12:04:00Z,46
I171008_BXD34_CD_ET1054_SW_Run048,201,BXD34,CD,F,ET1054,Oct_09,10:26:00,1,Batch_1,2023-10-09T14:26:00Z,47
I171008_BXD34_CD_ET765_SW_Run049,554,BXD34,CD,F,ET765,Oct_09,12:04:00,1,Batch_1,2023-10-09T16:04:00Z,48
I171009_BXD34_CD_ET766_SW_Run051,554,BXD34,CD,F,ET766,Oct_09,19:14:00,1,Batch_1,2023-10-09T23:14:00Z,49
I171009_BXD34_CD_ET1048_SW_Run052,209,BXD34,CD,F,ET1048,Oct_09,20:52:00,1,Batch_1,2023-10-10T00:52:00Z,50
I171009_BXD70_HF_ET1509_SW_Run053,357,BXD70,HF,F,ET1509,Oct_10,15:36:00,1,Batch_1,2023-10-10T19:36:00Z,51
I171009_BXD75_HF_ET1561_SW_Run054,367,BXD75,HF,F,ET1561,Oct_10,17:14:00,1,Batch_1,2023-10-10T21:14:00Z,52
I171009_BXD24_CD_ET1792_SW_Run055,205,BXD24,CD,F,ET1792,Oct_10,18:52:00,1,Batch_1,2023-10-10T22:52:00Z,53
I171009_BXD50_HF_ET1774_SW_Run056,361,BXD50,HF,F,ET1774,Oct_10,21:14:00,1,Batch_1,2023-10-11T01:14:00Z,54
I171009_BXD24_CD_ET1791_SW_Run058,205,BXD24,CD,F,ET1791,Oct_11,00:30:00,1,Batch_1,2023-10-11T04:30:00Z,55
I171009_DBA2J_HF_ET1132_SW_Run059,549,DBA2J,HF,M,ET1132,Oct_11,02:52:00,1,Batch_1,2023-10-11T06:52:00Z,56
I171009_BXD70_HF_ET1508_SW_Run060,357,BXD70,HF,F,ET1508,Oct_11,04:30:00,1,Batch_1,2023-10-11T08:30:00Z,57
I171009_BXD102_HF_ET1498_SW_Run061,366,BXD102,HF,F,ET1498,Oct_11,06:08:00,1,Batch_1,2023-10-11T10:08:00Z,58
I171009_BXD73_CD_ET1451_SW_Run062,361,BXD73,CD,F,ET1451,Oct_11,08:31:00,1,Batch_1,2023-10-11T12:31:00Z,59
I171009_BXD39_HF_1473_SW_Run063,350,BXD39,HF,F,ET1473,Oct_11,10:09:00,1,Batch_1,2023-10-11T14:09:00Z,60
I171009_BXD73_HF_ET1447_SW_Run064,361,BXD73,HF,F,ET1447,Oct_11,11:47:00,1,Batch_1,2023-10-11T15:47:00Z,61
I171009_BXD62_ET1436_SW_Run065,353,BXD62,CD,F,ET1436,Oct_11,14:09:00,1,Batch_1,2023-10-11T18:09:00Z,62
I171010_DBA2J_HF_ET1131_SW_Run066,549,DBA2J,HF,M,ET1131,Oct_11,15:47:00,1,Batch_1,2023-10-11T19:47:00Z,63
I171010_BXD102_HF_ET1497_SW_Run067,366,BXD102,HF,F,ET1497,Oct_11,17:25:00,1,Batch_1,2023-10-11T21:25:00Z,64
I171010_BXD70_CD_ET1512_SW_Run068,357,BXD70,CD,F,ET1512,Oct_11,19:47:00,1,Batch_1,2023-10-11T23:47:00Z,65
I171010_BXD50_HF_ET1919_SW_Run069,361,BXD50,HF,F,ET1919,Oct_11,21:25:00,1,Batch_1,2023-10-12T01:25:00Z,66
I171010_BXD40_HF_ET1593_SW_Run070,358,BXD40,HF,F,ET1593,Oct_11,23:03:00,1,Batch_1,2023-10-12T03:03:00Z,67
I171010_BXD75_HF_ET1562_SW_Run071,367,BXD75,HF,F,ET1562,Oct_12,01:26:00,1,Batch_1,2023-10-12T05:26:00Z,68
I171010_BXD40_CD_ET680_SW_Run072,578,BXD40,CD,F,ET680,Oct_12,03:04:00,1,Batch_1,2023-10-12T07:04:00Z,69
I171010_BXD9_HF_ET370_SW_Run073,347,BXD9,HF,F,ET370,Oct_12,04:42:00,1,Batch_1,2023-10-12T08:42:00Z,70
I171010_BXD27_HF_ET2434_SW_Run074,387,BXD27,HF,F,ET2434,Oct_12,13:53:00,1,Batch_1,2023-10-12T17:53:00Z,71
I171010_D2B6F1_CD_ET1169_SW_Run075,370,D2B6F1,CD,F,ET1169,Oct_12,15:31:00,1,Batch_1,2023-10-12T19:31:00Z,72
I171010_BXD34_CD_ET288_SW_Run076,748,BXD34,CD,F,ET288,Oct_12,17:09:00,1,Batch_1,2023-10-12T21:09:00Z,73
I171010_BXD44_CD_ET1504_SW_Run077,379,BXD44,CD,F,ET1504,Oct_12,19:31:00,1,Batch_1,2023-10-12T23:31:00Z,74
I171010_DBA2J_HF_ET1142_SW_Run078,549,DBA2J,HF,F,ET1142,Oct_12,21:09:00,1,Batch_1,2023-10-13T01:09:00Z,75
I171010_BXD98_CD_ET1524_SW_Run079,384,BXD98,CD,F,ET1524,Oct_12,22:47:00,1,Batch_1,2023-10-13T02:47:00Z,76
I171012_DBA2J_HF_ET1141_SW_Run080,544,DBA2J,HF,M,ET1141,Oct_13,02:47:00,1,Batch_1,2023-10-13T06:47:00Z,77
I171012_D2B6F1_HF_ET1442_SW_Run081,367,D2B6F1,HF,F,ET1442,Oct_13,04:25:00,1,Batch_1,2023-10-13T08:25:00Z,78
I171012_DBA2J_HF_ET1140_SW_Run082,544,DBA2J,HF,M,ET1140,Oct_13,06:03:00,1,Batch_1,2023-10-13T10:03:00Z,79
I171012_BXD90_HF_ET736_SW_Run083,570,BXD90,HF,F,ET736,Oct_13,08:26:00,1,Batch_1,2023-10-13T12:26:00Z,80
I171012_C57BL6J_HF_ET1254_SW_Run084,363,C57BL6J,HF,M,ET1254,Oct_13,10:04:00,1,Batch_1,2023-10-13T14:04:00Z,81
I171012_D2B6F1_CD_ET1160_SW_Run085,397,D2B6F1,CD,M,ET1160,Oct_13,11:42:00,1,Batch_1,2023-10-13T15:42:00Z,82
I171012_BXD40_CD_ET1057_SW_Run086,362,BXD40,CD,F,ET1057,Oct_13,14:04:00,2,Batch_1,2023-10-13T18:04:00Z,83
I171012_BXD34_CD_ET273_SW_Run087,361,BXD34,CD,F,ET273,Oct_13,15:42:00,2,Batch_1,2023-10-13T19:42:00Z,84
I171013_BXD32_HF_ET1137_Run088,539,BXD32,HF,F,ET1137,Oct_14,07:49:00,3,Batch_2,2023-10-14T11:49:00Z,85
I171013_BXD61_CD_ET1841_Run089,524,BXD61,CD,F,ET1841,Oct_14,11:56:00,3,Batch_2,2023-10-14T15:56:00Z,86
I171013_BXD65_CD_ET1787_Run090,541,BXD65,CD,F,ET1787,Oct_14,13:34:00,3,Batch_2,2023-10-14T17:34:00Z,87
I171013_BXD77_HF_ET1866_Run091,511,BXD77,HF,F,ET1866,Oct_14,15:12:00,3,Batch_2,2023-10-14T19:12:00Z,88
I171013_BXD34_HF_ET1052_Run092,537,BXD34,HF,F,ET1052,Oct_14,17:34:00,3,Batch_2,2023-10-14T21:34:00Z,89
I171013_BXD65b_CD_ET2108_Run093,748,BXD65b,CD,F,ET2108,Oct_14,19:12:00,3,Batch_2,2023-10-14T23:12:00Z,90
I171013_BXD90_CD_ET1702_Run094,188,BXD90,CD,F,ET1702,Oct_14,20:50:00,3,Batch_2,2023-10-15T00:50:00Z,91
I171013_BXD40_CD_ET1691_Run095,180,BXD40,CD,F,ET1691,Oct_14,23:13:00,3,Batch_2,2023-10-15T03:13:00Z,92
I171013_BXD45_HF_ET1831_Run096,503,BXD45,HF,F,ET1831,Oct_15,00:51:00,3,Batch_2,2023-10-15T04:51:00Z,93
I171013_BXD61_HF_ET1843_Run097,524,BXD61,HF,F,ET1843,Oct_15,02:29:00,3,Batch_2,2023-10-15T06:29:00Z,94
I171013_BXD65b_HF_ET1790_Run098,527,BXD65b,HF,F,ET1790,Oct_15,04:51:00,3,Batch_2,2023-10-15T08:51:00Z,95
I171013_BXD68_CD_ET2316_Run099,735,BXD68,CD,F,ET2316,Oct_15,06:29:00,3,Batch_2,2023-10-15T10:29:00Z,96
I171013_BXD65b_HF_ET1713_Run100,174,BXD65b,HF,F,ET1713,Oct_15,08:07:00,3,Batch_2,2023-10-15T12:07:00Z,97
I171013_BXD29_HF_ET2349_Run101,182,BXD29,HF,F,ET2349,Oct_15,10:30:00,3,Batch_2,2023-10-15T14:30:00Z,98
I171013_BXD29_CD_ET1040_Run102,574,BXD29,CD,F,ET1040,Oct_15,12:07:00,3,Batch_2,2023-10-15T16:07:00Z,99
I171013_BXD61_HF_ET2148_Run103,364,BXD61,HF,F,ET2148,Oct_15,13:45:00,3,Batch_2,2023-10-15T17:45:00Z,100
I171013_BXD65b_CD_ET1793_Run104,527,BXD65b,CD,F,ET1793,Oct_15,16:08:00,3,Batch_2,2023-10-15T20:08:00Z,101
I171013_BXD87_HF_ET1870_Run105,512,BXD87,HF,F,ET1870,Oct_15,17:46:00,3,Batch_2,2023-10-15T21:46:00Z,102
I171013_BXD89_HF_ET2076_Run106,759,BXD89,HF,F,ET2076,Oct_15,19:24:00,3,Batch_2,2023-10-15T23:24:00Z,103
I171013_BXD29_HF_ET1531_Run107,333,BXD29,HF,F,ET1531,Oct_15,23:26:00,3,Batch_2,2023-10-16T03:26:00Z,104
I171013_BXD45_HF_ET2161_Run108,350,BXD45,HF,F,ET2161,Oct_16,01:04:00,3,Batch_2,2023-10-16T05:04:00Z,105
I171013_BXD63_HF_ET2090_Run109,752,BXD63,HF,F,ET2090,Oct_16,03:26:00,3,Batch_2,2023-10-16T07:26:00Z,106
I171013_BXD64_CD_ET1199_Run110,550,BXD64,CD,F,ET1199,Oct_16,05:04:00,3,Batch_2,2023-10-16T09:04:00Z,107
I171013_BXD65b_CD_ET1410_Run111,302,BXD65b,CD,F,ET1410,Oct_16,06:42:00,3,Batch_2,2023-10-16T10:42:00Z,108
I171013_BXD48_CD_ET1835_Run112,518,BXD48,CD,F,ET1835,Oct_16,09:05:00,3,Batch_2,2023-10-16T13:05:00Z,109
I171013_BXD61_CD_ET2145_Run113,345,BXD61,CD,F,ET2145,Oct_16,10:43:00,3,Batch_2,2023-10-16T14:43:00Z,110
I171013_BXD70_HF_ET1728_Run114,578,BXD70,HF,F,ET1728,Oct_16,12:21:00,3,Batch_2,2023-10-16T16:21:00Z,111
I171016_BXD89_CD_ET2078_Run115,444,BXD89,CD,F,ET2078,Oct_16,16:06:00,3,Batch_2,2023-10-16T20:06:00Z,112
I171016_BXD39_CD_ET1322_Run116,550,BXD39,CD,F,ET1322,Oct_16,17:43:00,3,Batch_2,2023-10-16T21:43:00Z,113
I171016_BXD95_CD_ET1566_Run117,536,BXD95,CD,F,ET1566,Oct_16,19:21:00,3,Batch_2,2023-10-16T23:21:00Z,114
I171016_BXD99_CD_ET1354_Run118,535,BXD99,CD,F,ET1354,Oct_16,21:44:00,3,Batch_2,2023-10-17T01:44:00Z,115
I171016_BXD101_HF_ET1420_Run119,348,BXD101,HF,F,ET1420,Oct_16,23:22:00,3,Batch_2,2023-10-17T03:22:00Z,116
I171016_BXD43_CD_ET2154_Run120,381,BXD43,CD,F,ET2154,Oct_17,01:00:00,3,Batch_2,2023-10-17T05:00:00Z,117
I171016_BXD51_HF_ET1515_Run121,705,BXD51,HF,F,ET1515,Oct_17,03:22:00,3,Batch_2,2023-10-17T07:22:00Z,118
I171016_BXD73_HF_ET1506_Run122,694,BXD73,HF,F,ET1506,Oct_17,05:00:00,3,Batch_2,2023-10-17T09:00:00Z,119
I171016_BXD9_CD_ET2577_Run123,245,BXD9,CD,F,ET2577,Oct_17,06:38:00,3,Batch_2,2023-10-17T10:38:00Z,120
I171016_C57BL6J_HF_ET1681_Run124,182,C57BL6J,HF,F,ET1681,Oct_17,09:01:00,3,Batch_2,2023-10-17T13:01:00Z,121
I171016_C57BL6J_CD_ET1585_Run125,359,C57BL6J,CD,M,ET1585,Oct_17,10:39:00,3,Batch_2,2023-10-17T14:39:00Z,122
I171016_BXD51_CD_ET1518_Run126,705,BXD51,CD,F,ET1518,Oct_17,13:01:00,3,Batch_2,2023-10-17T17:01:00Z,123
